Date,Open,High,Low,Close,Up votes,Down votes
2022-09-15,18833.9,19013.03,18833.9,18930.38,0.49,0.51
2022-09-16,18732.44,18905.28,18678.22,18761.69,0.5,0.5
2022-09-19,18695.35,18697.09,18494.54,18565.97,0.535764705882353,0.46423529411764697
2022-09-20,18700.68,18861.47,18685.46,18781.42,0.55,0.44999999999999996
2022-09-21,18638.85,18638.85,18434.65,18444.62,0.44,0.56
2022-09-22,18080.93,18195.09,17965.33,18147.95,0.47,0.53
2022-09-23,18055.59,18165.95,17926.29,17933.27,0.48,0.52
2022-09-26,17781.87,18077.64,17727.4,17855.14,0.36,0.64
2022-09-27,17838.65,17904.21,17648.42,17860.31,0.52,0.48
2022-09-28,17703.39,17703.39,17184.54,17250.88,0.535764705882353,0.46423529411764697
2022-09-29,17570.17,17629.67,17046.83,17165.87,0.53,0.47
2022-09-30,17165.93,17344.81,17016.28,17222.83,0.33,0.6699999999999999
2022-10-03,17050.25,17252.11,16906.96,17079.51,0.55,0.44999999999999996
2022-10-05,17811.97,18164.2,17682.85,18087.97,0.82,0.18000000000000005
2022-10-06,18100.48,18143.85,17958.14,18012.15,0.49,0.51
2022-10-07,17851.62,17881.87,17717.73,17740.05,0.55,0.44999999999999996
2022-10-10,17449.36,17449.36,17174.61,17216.66,0.535764705882353,0.46423529411764697
2022-10-11,17194.73,17206.51,16789.97,16832.36,0.4,0.6
2022-10-12,16758.27,17040.7,16438.6,16701.03,0.38,0.62
2022-10-13,16700.65,16736.59,16389.11,16389.11,0.54,0.45999999999999996
2022-10-14,16671.68,17028.68,16535.37,16587.69,0.33,0.6699999999999999
2022-10-17,16479.74,16754.52,16308.95,16612.9,0.38,0.62
2022-10-18,16860.2,16914.58,16558.41,16914.58,0.54,0.45999999999999996
2022-10-19,16805.91,16923.12,16508.37,16511.28,0.74,0.26
2022-10-20,16230.79,16452.97,16010.72,16280.22,0.43,0.5700000000000001
2022-10-21,16331.11,16359.04,16137.18,16211.12,0.535764705882353,0.46423529411764697
2022-10-24,15894.75,15993.88,15082.84,15180.69,0.38,0.62
2022-10-25,15242.1,15435.37,14947.39,15165.59,0.57,0.43000000000000005
2022-10-26,15096.32,15584.06,15041.4,15317.67,0.57,0.43000000000000005
2022-10-27,15721.27,15833.28,15410.97,15427.94,0.62,0.38
2022-10-28,15424.94,15441.99,14770.09,14863.06,0.51,0.49
2022-10-31,14830.69,15113.15,14597.31,14687.02,0.51,0.49
2022-11-01,14859.92,15632.85,14859.92,15455.27,0.46,0.54
2022-11-02,15389.55,15867.24,15276.76,15827.17,0.6,0.4
2022-11-03,15477.74,15623.18,15301.67,15339.49,0.54,0.45999999999999996
2022-11-04,15442.76,16513.16,15442.76,16161.14,0.42,0.5800000000000001
2022-11-07,16031.79,16821.89,15980.85,16595.91,0.67,0.32999999999999996
2022-11-08,16640.6,16719.01,16429.81,16557.31,0.59,0.41000000000000003
2022-11-09,16552.8,16730.2,16213.03,16358.52,0.535764705882353,0.46423529411764697
2022-11-10,16138.22,16138.22,15945.2,16081.04,0.43,0.5700000000000001
2022-11-11,17120.05,17368.04,16829.0,17325.66,0.79,0.20999999999999996
2022-11-14,17999.26,18011.64,17518.88,17619.71,0.535764705882353,0.46423529411764697
2022-11-15,17665.8,18356.78,17552.3,18343.12,0.5,0.5
2022-11-16,18169.21,18414.09,18031.87,18256.48,0.535764705882353,0.46423529411764697
2022-11-17,18071.6,18220.81,17711.84,18045.66,0.5,0.5
2022-11-18,18316.36,18378.06,17910.19,17992.54,0.35,0.65
2022-11-21,17654.15,17746.34,17389.45,17655.91,0.535764705882353,0.46423529411764697
2022-11-22,17625.19,17751.93,17287.6,17424.41,0.535764705882353,0.46423529411764697
2022-11-23,17460.9,17640.84,17375.96,17523.81,0.5,0.5
2022-11-24,17684.53,17759.24,17517.12,17660.9,0.55,0.44999999999999996
